tSec,displayed,published,dropped,mailboxAgeMs,producerRendered,producerFailed,producerFps,degraded,displayedFps
0.255,10,11,0,0,11,0,0.00,0,0.00
0.545,18,19,0,5,19,0,0.00,0,0.00
0.742,26,26,0,0,26,0,0.00,0,25.00
1.011,33,34,0,0,34,0,33.63,0,25.00
1.234,40,41,0,0,41,0,33.63,0,25.00
1.511,47,48,0,0,48,0,33.63,0,25.00
1.730,54,54,0,1,54,0,33.63,0,29.00
1.979,60,60,0,0,60,0,33.63,0,29.00
2.244,65,66,0,0,66,0,26.64,0,29.00
2.511,73,74,0,0,74,0,26.64,0,29.00
2.775,79,80,0,0,80,0,26.64,0,25.00
2.959,80,80,0,185,80,0,26.64,0,25.00
3.263,81,82,0,0,82,0,16.65,0,25.00
3.459,82,83,0,0,83,0,16.65,0,25.00
3.706,84,84,0,60,84,0,16.65,1,5.00
3.955,85,85,0,95,85,0,16.65,1,5.00
4.217,86,86,0,187,86,0,16.65,1,5.00
4.479,88,88,0,49,88,0,5.14,1,5.00
4.706,89,89,0,55,89,0,5.14,1,5.00
4.961,90,90,0,115,90,0,5.14,1,5.00
5.214,91,91,0,173,91,0,5.14,1,5.00
5.455,93,93,0,29,93,0,5.14,1,5.00
5.719,104,104,0,12,104,0,5.63,0,15.00
5.972,115,115,0,12,115,0,5.63,0,15.00
6.242,126,127,0,1,127,0,5.63,0,15.00
6.466,138,138,0,0,138,0,5.63,0,15.00
6.731,151,152,0,0,152,0,46.44,0,47.00
6.979,165,166,0,0,166,0,46.44,0,47.00
7.240,178,179,0,0,179,0,46.44,0,47.00
7.476,191,192,0,0,192,0,46.44,0,47.00
7.727,204,205,0,1,205,0,51.96,0,53.00
7.973,216,217,0,0,217,0,51.96,0,53.00
