tSec,displayed,published,dropped,mailboxAgeMs,producerRendered,producerFailed,producerFps,degraded,displayedFps
0.276,11,12,0,0,12,0,0.00,1,2.00
0.591,20,21,0,0,21,0,0.00,1,2.00
0.827,28,29,0,0,29,0,0.00,1,2.00
1.076,34,36,0,0,36,0,33.40,0,32.00
1.327,41,42,0,0,42,0,33.40,0,32.00
1.575,46,48,0,0,48,0,33.40,0,32.00
1.814,54,54,0,17,54,0,33.40,0,32.00
2.064,60,61,0,1,61,0,25.59,0,26.00
2.334,66,68,0,0,68,0,25.59,0,26.00
2.575,73,74,0,1,74,0,25.59,0,26.00
2.826,78,80,0,0,80,0,25.59,0,26.00
3.067,84,86,0,1,86,0,24.93,0,24.00
3.317,90,90,0,20,90,0,24.93,0,24.00
3.582,95,96,0,1,96,0,24.93,0,24.00
3.825,100,102,0,0,102,0,24.93,0,24.00
4.084,109,110,0,0,110,0,23.60,0,25.00
4.302,115,116,0,1,116,0,23.60,0,25.00
4.588,123,124,0,0,124,0,23.60,0,25.00
4.824,129,130,0,0,130,0,23.60,0,25.00
5.059,135,136,0,1,136,0,23.60,0,26.00
5.322,136,137,0,0,137,0,21.79,0,26.00
5.538,138,138,0,43,138,0,21.79,0,26.00
5.788,139,139,0,76,139,0,21.79,0,26.00
6.037,140,140,0,120,140,0,21.79,1,5.00
6.296,141,141,0,168,141,0,21.79,1,5.00
6.550,142,143,0,0,143,0,4.89,1,5.00
6.793,144,144,0,35,144,0,4.89,1,5.00
7.038,145,145,0,80,145,0,4.89,1,5.00
7.288,146,146,0,129,146,0,4.89,1,5.00
7.538,147,147,0,171,147,0,4.89,1,5.00
7.788,149,149,0,24,149,0,4.89,1,5.00
8.037,150,150,0,79,150,0,4.89,1,5.00
8.287,151,151,0,128,151,0,4.89,1,5.00
8.538,152,152,0,176,152,0,4.89,1,5.00
8.797,154,154,0,33,154,0,5.04,1,5.00
9.038,155,155,0,78,155,0,5.04,1,5.00
9.288,156,156,0,130,156,0,5.04,1,5.00
9.537,157,157,0,175,157,0,5.04,1,5.00
9.788,159,159,0,24,159,0,4.99,1,5.00
10.045,160,160,0,86,160,0,4.99,1,5.00
10.302,172,172,0,11,172,0,4.99,1,5.00
10.541,184,184,0,0,184,0,4.99,1,5.00
10.809,196,196,0,0,196,0,27.61,1,5.00
11.088,203,204,0,0,204,0,27.61,0,43.00
11.311,210,210,0,0,210,0,27.61,0,43.00
11.549,216,217,0,0,217,0,27.61,0,43.00
11.810,224,225,0,0,225,0,31.97,0,43.00
12.056,232,233,0,0,233,0,31.97,0,29.00
12.312,240,242,0,0,242,0,31.97,0,29.00
12.553,251,251,0,0,251,0,31.97,0,29.00
12.811,260,261,0,0,261,0,34.00,0,29.00
13.066,270,271,0,0,271,0,34.00,0,38.00
13.320,280,280,0,20,280,0,34.00,0,38.00
13.568,289,289,0,19,289,0,34.00,0,38.00
13.814,298,298,0,19,298,0,37.36,0,38.00
14.070,306,307,0,0,307,0,37.36,0,36.00
14.308,314,315,0,0,315,0,37.36,0,36.00
