tSec,displayed,published,dropped,mailboxAgeMs,producerRendered,producerFailed,producerFps,degraded,displayedFps
0.238,9,9,0,0,9,0,0.00,1,5.00
0.558,18,19,0,0,19,0,0.00,1,5.00
0.766,24,25,0,0,25,0,0.00,1,5.00
0.979,31,31,0,0,31,0,0.00,1,5.00
1.219,38,38,0,17,38,0,31.34,0,31.00
1.480,44,45,0,0,45,0,31.34,0,31.00
1.682,51,51,0,0,51,0,31.34,0,31.00
1.940,57,57,0,18,57,0,31.34,0,31.00
2.185,63,64,0,0,64,0,27.67,0,27.00
2.431,69,70,0,0,70,0,27.67,0,27.00
2.671,77,77,0,18,77,0,27.67,0,27.00
2.937,83,83,0,23,83,0,27.67,0,27.00
3.192,88,88,0,1,88,0,24.76,0,25.00
3.432,93,94,0,0,94,0,24.76,0,25.00
3.702,99,101,0,0,101,0,24.76,0,25.00
3.915,107,107,0,0,107,0,24.76,0,25.00
4.188,114,115,0,1,115,0,25.97,0,26.00
4.408,120,121,0,0,121,0,25.97,0,26.00
4.683,128,128,0,25,128,0,25.97,0,26.00
4.947,134,135,0,0,135,0,25.97,0,26.00
5.155,140,141,0,0,141,0,26.92,0,26.00
5.415,152,152,0,12,152,0,26.92,0,26.00
5.678,162,163,0,0,163,0,26.92,0,26.00
5.929,173,174,0,0,174,0,26.92,0,26.00
6.178,180,182,0,0,182,0,39.69,0,40.00
6.394,191,191,0,1,191,0,39.69,0,40.00
6.665,203,204,0,0,204,0,39.69,0,40.00
6.906,215,215,0,12,215,0,39.69,0,40.00
7.145,216,216,0,8,216,0,39.69,0,36.00
7.403,217,217,0,51,217,0,30.03,0,36.00
7.644,218,218,0,79,218,0,30.03,0,36.00
7.894,219,219,0,125,219,0,30.03,0,36.00
8.145,220,220,0,183,220,0,30.03,1,4.00
8.395,222,222,0,32,222,0,4.95,1,4.00
8.643,223,223,0,62,223,0,4.95,1,4.00
8.893,224,224,0,130,224,0,4.95,1,4.00
9.143,225,225,0,174,225,0,4.95,1,5.00
9.393,227,227,0,31,227,0,5.00,1,5.00
9.643,228,228,0,73,228,0,5.00,1,5.00
9.894,229,229,0,129,229,0,5.00,1,5.00
10.143,230,230,0,174,230,0,5.00,1,5.00
10.394,232,232,0,33,232,0,5.00,1,5.00
10.643,233,233,0,78,233,0,4.99,1,5.00
10.894,234,234,0,128,234,0,4.99,1,5.00
11.149,235,235,0,134,235,0,4.99,1,5.00
11.423,237,237,0,39,237,0,4.99,1,5.00
11.644,238,238,0,54,238,0,4.87,1,5.00
11.908,239,239,0,118,239,0,4.87,1,5.00
12.144,240,240,0,157,240,0,4.87,1,5.00
12.411,242,242,0,28,242,0,4.87,1,5.00
12.644,243,243,0,62,243,0,4.87,1,5.00
12.893,244,244,0,110,244,0,5.03,1,5.00
13.144,245,245,0,159,245,0,5.03,1,5.00
13.416,247,247,0,31,247,0,5.03,1,5.00
13.685,253,254,0,0,254,0,5.03,1,5.00
13.920,261,262,0,0,262,0,13.75,1,5.00
14.149,269,270,0,1,270,0,13.75,0,24.00
14.403,279,279,0,0,279,0,13.75,0,24.00
14.680,287,288,0,0,288,0,13.75,0,24.00
14.918,295,295,0,1,295,0,33.70,0,24.00
15.153,303,303,0,1,303,0,33.70,0,34.00
15.394,315,315,0,7,315,0,33.70,0,34.00
15.651,328,328,0,0,328,0,33.70,0,34.00
15.894,340,340,0,0,340,0,43.96,0,34.00
16.155,353,353,0,1,353,0,43.96,0,50.00
16.399,365,365,0,0,365,0,43.96,0,50.00
16.661,377,377,0,12,377,0,43.96,0,50.00
16.898,389,389,0,0,389,0,48.90,0,50.00
17.150,402,402,0,0,402,0,48.90,0,49.00
17.393,414,414,0,0,414,0,48.90,0,49.00
17.661,426,427,0,0,427,0,48.90,0,49.00
17.897,438,439,0,0,439,0,49.95,0,49.00
18.150,452,452,0,0,452,0,49.95,0,50.00
18.400,464,464,0,1,464,0,49.95,0,50.00
18.654,477,477,0,0,477,0,49.95,0,50.00
18.898,487,488,0,1,488,0,49.02,0,50.00
19.166,500,501,0,0,501,0,49.02,0,48.00
19.396,512,513,0,0,513,0,49.02,0,48.00
19.675,523,524,0,0,524,0,49.02,0,48.00
19.896,535,535,0,0,535,0,46.69,0,48.00
