t_s,phase,displayed_frames,published,dropped,mailbox_age_ms,upload_count,upload_sum_us,upload_max_ms,rss_kb,footprint_kb,exposed,degraded,producer_fps,producer_rendered,producer_failed
0.992,warmup,49,49,0,5,49,31959,1.050,1144148,1356484,1,0,0.00,49,0
1.996,warmup,93,93,0,13,92,58303,1.050,1059832,1547332,1,0,49.75,93,0
2.996,warmup,143,143,0,12,142,87973,1.050,1060304,1545696,1,0,44.00,143,0
3.997,warmup,193,193,0,14,192,117842,1.050,1060304,1545696,1,0,50.00,193,0
4.991,warmup,243,243,0,8,242,147771,1.050,1060304,1433364,1,0,50.00,243,0
5.997,warmup,293,293,0,14,292,177732,1.050,1060300,1433360,1,0,50.00,293,0
6.997,warmup,343,343,0,14,342,207720,1.050,1060304,1433360,1,0,50.05,343,0
7.994,warmup,393,393,0,11,392,237924,1.050,1037776,1410808,1,0,50.00,393,0
8.997,warmup,443,443,0,14,442,268081,1.050,1037776,1410808,1,0,49.95,443,0
9.996,warmup,493,493,0,13,492,298154,1.050,1037780,1410808,1,0,50.05,493,0
10.997,warmup,543,543,0,14,542,327937,1.050,1037780,1410808,1,0,49.95,543,0
11.992,warmup,593,593,0,9,592,358055,1.050,1037780,1410808,1,0,50.05,593,0
12.997,warmup,643,643,0,13,642,388821,1.050,1037780,1410808,1,0,49.95,643,0
13.997,warmup,693,693,0,13,692,419024,1.050,1037780,1410808,1,0,50.00,693,0
14.997,warmup,743,743,0,12,742,449129,1.050,1037780,1410808,1,0,49.95,743,0
15.997,warmup,793,793,0,13,792,479358,1.050,1037780,1410808,1,0,50.10,793,0
16.997,warmup,843,843,0,13,842,509363,1.050,1037780,1410808,1,0,49.90,843,0
17.997,warmup,884,884,0,14,883,533525,1.050,1090124,1431352,1,0,50.10,884,0
18.992,warmup,934,934,0,9,933,563986,1.050,1090132,1431592,1,0,41.00,934,0
19.997,warmup,984,984,0,14,983,594091,1.050,1090132,1431592,1,0,49.95,984,0
20.997,warmup,1034,1034,0,13,1033,623770,1.050,1089956,1431284,1,0,50.05,1034,0
21.994,warmup,1084,1084,0,11,1083,653813,1.050,1089836,1431060,1,0,49.95,1084,0
22.996,warmup,1134,1134,0,12,1133,684045,1.050,1089852,1431060,1,0,49.95,1134,0
23.992,warmup,1183,1183,0,6,1181,712848,1.050,1067352,1517220,1,0,50.00,1183,0
24.992,warmup,1233,1233,0,8,1231,742495,1.050,1067356,1517220,1,0,49.00,1233,0
25.992,warmup,1283,1283,0,8,1281,772338,1.050,1067356,1517220,1,0,50.00,1283,0
26.994,warmup,1333,1333,0,10,1331,802274,1.050,1067356,1503392,1,0,50.05,1333,0
27.991,warmup,1383,1383,0,6,1381,831914,1.050,1067356,1503392,1,0,50.00,1383,0
28.997,warmup,1433,1433,0,12,1431,861781,1.050,1067356,1503392,1,0,50.00,1433,0
29.997,warmup,1483,1483,0,14,1481,891943,1.050,1050972,1486992,1,0,50.05,1483,0
30.992,warmup,1533,1533,0,7,1531,922267,1.050,1050972,1486992,1,0,50.00,1533,0
31.992,warmup,1583,1583,0,7,1581,952357,1.050,1050972,1486992,1,0,49.95,1583,0
32.992,warmup,1633,1633,0,8,1631,983528,1.050,1050976,1487056,1,0,50.00,1633,0
33.997,warmup,1683,1683,0,13,1681,1013455,1.050,1050976,1487056,1,0,50.00,1683,0
34.997,warmup,1733,1733,0,13,1731,1043583,1.050,1050976,1487056,1,0,50.00,1733,0
35.995,warmup,1783,1783,0,11,1781,1074429,1.050,1050976,1487056,1,0,50.00,1783,0
36.991,warmup,1833,1833,0,7,1831,1104281,1.050,1050992,1487056,1,0,50.00,1833,0
37.992,warmup,1883,1883,0,6,1881,1134403,1.050,1050992,1487056,1,0,50.00,1883,0
38.992,warmup,1933,1933,0,8,1931,1164266,1.050,1050992,1487056,1,0,50.00,1933,0
39.991,warmup,1983,1983,0,7,1981,1194121,1.050,1050992,1487056,1,0,49.95,1983,0
40.996,warmup,2033,2033,0,12,2031,1223751,1.050,1050992,1487056,1,0,50.05,2033,0
41.997,warmup,2083,2083,0,13,2081,1253775,1.050,1050992,1487056,1,0,50.00,2083,0
42.991,warmup,2133,2133,0,6,2131,1283621,1.050,1050992,1487056,1,0,49.95,2133,0
43.991,warmup,2183,2183,0,7,2181,1313480,1.050,1050992,1487056,1,0,50.05,2183,0
44.996,warmup,2233,2233,0,13,2231,1344248,1.050,1050992,1487056,1,0,50.00,2233,0
45.997,warmup,2283,2283,0,14,2281,1374602,1.050,1050992,1487056,1,0,50.05,2283,0
46.991,warmup,2333,2333,0,8,2331,1404777,1.050,1050992,1487056,1,0,49.95,2333,0
47.997,warmup,2383,2383,0,14,2381,1434396,1.050,1050904,1486916,1,0,50.05,2383,0
48.996,warmup,2433,2433,0,13,2431,1464227,1.050,1050904,1486916,1,0,49.95,2433,0
49.993,warmup,2483,2483,0,10,2481,1493848,1.050,1050904,1486916,1,0,50.00,2483,0
50.994,warmup,2533,2533,0,11,2531,1523187,1.050,1050904,1486916,1,0,50.00,2533,0
51.992,warmup,2583,2583,0,6,2581,1552476,1.050,1050904,1486916,1,0,50.00,2583,0
52.992,warmup,2633,2633,0,9,2631,1582163,1.050,1050956,1486916,1,0,50.05,2633,0
53.991,warmup,2683,2683,0,8,2681,1611497,1.050,1050968,1486936,1,0,49.95,2683,0
54.996,warmup,2733,2733,0,13,2731,1641465,1.050,1050968,1486936,1,0,50.05,2733,0
55.997,warmup,2783,2783,0,14,2781,1671194,1.050,1050968,1486936,1,0,49.95,2783,0
56.997,warmup,2833,2833,0,15,2831,1700531,1.050,1050968,1486936,1,0,50.00,2833,0
57.993,warmup,2883,2883,0,9,2881,1730212,1.050,1050968,1486936,1,0,49.90,2883,0
58.993,warmup,2933,2933,0,8,2931,1761482,1.430,1050972,1486936,1,0,50.10,2933,0
59.994,warmup,2983,2983,0,11,2981,1791268,1.430,1050972,1486936,1,0,50.00,2983,0
60.992,warmup,3033,3033,0,10,3031,1820143,1.430,1050972,1486936,1,0,50.00,3033,0
61.995,warmup,3083,3083,0,11,3081,1848823,1.430,1050972,1486936,1,0,50.05,3083,0
62.997,warmup,3133,3133,0,14,3131,1877897,1.430,1050972,1486936,1,0,50.00,3133,0
63.994,warmup,3183,3183,0,11,3181,1907168,1.430,1050972,1486936,1,0,50.00,3183,0
64.991,warmup,3233,3233,0,7,3231,1936533,1.430,1050972,1486936,1,0,50.00,3233,0
65.993,warmup,3283,3283,0,10,3281,1966056,1.430,1050972,1486936,1,0,49.95,3283,0
66.996,warmup,3333,3333,0,13,3331,1995112,1.430,1051000,1486960,1,0,50.05,3333,0
67.991,warmup,3383,3383,0,8,3381,2024099,1.430,1051000,1486960,1,0,50.00,3383,0
68.997,warmup,3433,3433,0,14,3431,2053323,1.430,1051000,1486960,1,0,50.00,3433,0
69.993,warmup,3483,3483,0,10,3481,2082255,1.430,1051000,1486960,1,0,50.00,3483,0
70.997,warmup,3533,3533,0,13,3531,2111628,1.430,1051000,1486960,1,0,50.00,3533,0
71.997,warmup,3583,3583,0,13,3581,2140354,1.430,1051000,1486960,1,0,50.00,3583,0
72.997,warmup,3633,3633,0,12,3631,2169866,1.430,1051000,1486960,1,0,50.00,3633,0
73.997,warmup,3683,3683,0,13,3681,2198981,1.430,1051004,1486960,1,0,49.95,3683,0
74.991,warmup,3733,3733,0,7,3731,2228295,1.430,1051004,1486960,1,0,50.05,3733,0
75.997,warmup,3783,3783,0,12,3781,2257144,1.430,1051004,1486960,1,0,49.90,3783,0
76.995,warmup,3833,3833,0,10,3831,2286087,1.430,1051004,1486960,1,0,50.10,3833,0
77.997,warmup,3883,3883,0,13,3881,2316040,1.430,1051004,1486960,1,0,49.95,3883,0
78.996,warmup,3933,3933,0,13,3931,2345343,1.430,1051004,1486960,1,0,50.00,3933,0
79.992,warmup,3983,3983,0,6,3981,2375256,1.430,1051004,1486960,1,0,49.95,3983,0
80.991,warmup,4033,4033,0,8,4031,2404180,1.430,1051004,1486960,1,0,50.10,4033,0
81.992,warmup,4083,4083,0,8,4081,2433752,1.430,1051004,1486960,1,0,49.95,4083,0
82.992,warmup,4133,4133,0,8,4131,2463428,1.430,1051004,1486960,1,0,50.00,4133,0
83.997,warmup,4183,4183,0,13,4181,2493269,1.430,1051004,1486960,1,0,50.00,4183,0
84.997,warmup,4233,4233,0,14,4231,2522370,1.430,1051004,1486960,1,0,50.00,4233,0
85.997,warmup,4283,4283,0,12,4281,2551604,1.430,1051004,1486960,1,0,50.00,4283,0
86.997,warmup,4333,4333,0,12,4331,2581044,1.430,1051004,1486960,1,0,50.05,4333,0
87.992,warmup,4383,4383,0,7,4381,2609856,1.430,1051004,1486960,1,0,49.95,4383,0
88.992,warmup,4433,4433,0,7,4431,2639046,1.430,1051008,1486964,1,0,50.05,4433,0
89.996,warmup,4483,4483,0,12,4481,2668653,1.430,1051008,1486964,1,0,49.95,4483,0
90.993,warmup,4533,4533,0,9,4531,2697855,1.430,1051012,1486964,1,0,50.00,4533,0
91.997,warmup,4583,4583,0,12,4581,2727145,1.430,1051012,1486964,1,0,50.00,4583,0
92.996,warmup,4633,4633,0,12,4631,2756239,1.430,1051012,1486964,1,0,50.00,4633,0
93.996,warmup,4683,4683,0,11,4681,2785528,1.430,1051012,1486964,1,0,50.00,4683,0
94.997,warmup,4733,4733,0,13,4731,2815256,1.430,1051012,1486964,1,0,50.00,4733,0
95.991,warmup,4783,4783,0,8,4781,2844353,1.430,1051012,1486964,1,0,50.00,4783,0
96.996,warmup,4833,4833,0,12,4831,2873255,1.430,1051012,1486964,1,0,50.05,4833,0
97.994,warmup,4883,4883,0,10,4881,2903060,1.430,1051012,1486964,1,0,49.95,4883,0
98.997,warmup,4933,4933,0,14,4931,2932117,1.430,1051012,1486964,1,0,50.05,4933,0
99.997,warmup,4983,4983,0,14,4981,2961659,1.430,1051012,1486964,1,0,49.95,4983,0
100.996,warmup,5033,5033,0,13,5031,2990354,1.430,1051012,1486964,1,0,50.05,5033,0
101.992,warmup,5083,5083,0,9,5081,3019522,1.430,1051012,1486964,1,0,50.00,5083,0
102.991,warmup,5133,5133,0,8,5131,3048964,1.430,1051012,1486964,1,0,50.00,5133,0
103.994,warmup,5183,5183,0,11,5181,3078203,1.430,1051012,1486964,1,0,49.95,5183,0
104.997,warmup,5233,5233,0,14,5231,3107231,1.430,1051012,1486964,1,0,50.00,5233,0
105.997,warmup,5283,5283,0,14,5281,3136221,1.430,1051012,1486964,1,0,50.00,5283,0
106.993,warmup,5333,5333,0,10,5331,3165313,1.430,1051012,1486964,1,0,50.00,5333,0
107.996,warmup,5383,5383,0,13,5381,3194934,1.430,1051012,1486964,1,0,50.00,5383,0
108.993,warmup,5433,5433,0,10,5431,3224383,1.430,1051012,1486964,1,0,50.00,5433,0
109.991,warmup,5483,5483,0,8,5481,3253449,1.430,1051012,1486964,1,0,49.95,5483,0
110.992,warmup,5533,5533,0,9,5531,3282733,1.430,1051012,1486964,1,0,50.10,5533,0
111.997,warmup,5583,5583,0,14,5581,3312557,1.430,1051012,1486964,1,0,49.95,5583,0
112.997,warmup,5633,5633,0,14,5631,3341547,1.430,1051012,1486964,1,0,50.05,5633,0
113.996,warmup,5683,5683,0,14,5681,3370766,1.430,1050984,1486912,1,0,50.00,5683,0
114.994,warmup,5733,5733,0,10,5731,3400283,1.430,1050984,1486912,1,0,49.95,5733,0
115.992,warmup,5783,5783,0,7,5781,3430385,1.430,1050984,1486912,1,0,50.00,5783,0
116.992,warmup,5833,5833,0,8,5831,3459825,1.430,1050984,1486912,1,0,50.00,5833,0
117.997,warmup,5883,5883,0,12,5881,3488779,1.430,1050984,1486912,1,0,50.05,5883,0
118.997,warmup,5933,5933,0,14,5931,3518166,1.430,1050984,1486912,1,0,50.00,5933,0
119.993,warmup,5983,5983,0,9,5981,3547289,1.430,1050984,1486912,1,0,49.95,5983,0
120.996,warmup,6033,6033,0,14,6031,3576177,1.430,1050984,1486912,1,0,50.00,6033,0
121.997,warmup,6083,6083,0,13,6081,3604938,1.430,1050952,1486852,1,0,50.00,6083,0
122.991,warmup,6133,6133,0,7,6131,3633977,1.430,1050956,1486852,1,0,50.00,6133,0
123.997,warmup,6183,6183,0,12,6181,3663707,1.430,1050956,1486852,1,0,50.00,6183,0
124.997,warmup,6233,6233,0,12,6231,3692763,1.430,1050956,1486852,1,0,50.05,6233,0
125.992,warmup,6283,6283,0,7,6281,3722214,1.430,1050956,1486852,1,0,49.95,6283,0
126.997,warmup,6333,6333,0,14,6331,3751704,1.430,1050956,1486852,1,0,50.00,6333,0
127.992,warmup,6383,6383,0,8,6381,3780949,1.430,1050956,1486852,1,0,50.00,6383,0
128.992,warmup,6433,6433,0,6,6431,3810728,1.430,1050956,1486852,1,0,50.00,6433,0
129.991,warmup,6483,6483,0,6,6481,3840508,1.430,1056840,1494076,1,0,50.00,6483,0
130.991,warmup,6533,6533,0,7,6531,3869642,1.430,1050956,1486852,1,0,50.00,6533,0
131.996,warmup,6583,6583,0,13,6581,3899139,1.430,1050956,1486852,1,0,50.05,6583,0
132.997,warmup,6633,6633,0,13,6631,3929366,1.430,1050956,1486852,1,0,49.95,6633,0
133.996,warmup,6683,6683,0,12,6681,3959175,1.430,1050956,1486852,1,0,50.00,6683,0
134.992,warmup,6733,6733,0,8,6731,3988178,1.430,1050956,1486852,1,0,50.00,6733,0
135.996,warmup,6783,6783,0,12,6781,4017192,1.430,1050956,1486852,1,0,49.95,6783,0
136.992,warmup,6833,6833,0,8,6831,4046245,1.430,1050956,1486852,1,0,50.05,6833,0
137.991,warmup,6883,6883,0,7,6881,4075389,1.430,1050956,1486852,1,0,50.00,6883,0
138.994,warmup,6933,6933,0,10,6931,4104650,1.430,1050956,1486852,1,0,50.00,6933,0
139.997,warmup,6983,6983,0,14,6981,4134330,1.430,1050956,1486852,1,0,49.95,6983,0
140.997,warmup,7033,7033,0,13,7031,4163940,1.430,1050956,1486852,1,0,50.05,7033,0
141.997,warmup,7083,7083,0,14,7081,4192654,1.430,1050956,1486852,1,0,50.00,7083,0
142.996,warmup,7133,7133,0,11,7131,4222110,1.430,1050956,1486852,1,0,50.00,7133,0
143.997,warmup,7183,7183,0,13,7181,4251669,1.430,1050956,1486852,1,0,50.00,7183,0
144.992,warmup,7233,7233,0,6,7231,4280721,1.430,1051008,1486908,1,0,50.00,7233,0
145.997,warmup,7283,7283,0,14,7281,4310021,1.430,1051008,1486908,1,0,50.05,7283,0
146.997,warmup,7333,7333,0,14,7331,4339409,1.430,1051008,1486908,1,0,50.00,7333,0
147.996,warmup,7383,7383,0,13,7381,4368066,1.430,1051008,1486908,1,0,50.00,7383,0
148.993,warmup,7433,7433,0,10,7431,4396989,1.430,1051008,1486908,1,0,50.00,7433,0
149.997,warmup,7483,7483,0,13,7481,4426429,1.430,1051008,1486908,1,0,50.00,7483,0
150.997,warmup,7533,7533,0,14,7531,4455642,1.430,1051008,1486908,1,0,50.00,7533,0
151.991,warmup,7583,7583,0,7,7581,4485080,1.430,1051008,1486908,1,0,50.00,7583,0
152.997,warmup,7633,7633,0,13,7631,4514575,1.430,1051008,1486908,1,0,50.00,7633,0
153.993,warmup,7683,7683,0,9,7681,4544187,1.430,1051008,1486908,1,0,49.95,7683,0
154.997,warmup,7733,7733,0,13,7731,4573493,1.430,1051012,1486908,1,0,50.00,7733,0
155.992,warmup,7783,7783,0,9,7781,4602420,1.430,1051012,1486908,1,0,50.05,7783,0
156.991,warmup,7833,7833,0,9,7831,4634544,3.871,1051012,1486908,1,0,49.95,7833,0
157.992,warmup,7883,7883,0,9,7881,4664653,3.871,1051012,1486908,1,0,49.95,7883,0
158.992,warmup,7933,7933,0,9,7931,4693617,3.871,1051040,1486936,1,0,50.00,7933,0
159.996,warmup,7983,7983,0,12,7981,4722664,3.871,1051040,1486936,1,0,50.05,7983,0
160.997,warmup,8033,8033,0,14,8031,4751663,3.871,1051040,1486936,1,0,49.95,8033,0
161.996,warmup,8083,8083,0,13,8081,4780811,3.871,1051040,1486936,1,0,50.05,8083,0
162.995,warmup,8133,8133,0,12,8131,4810072,3.871,1051044,1486936,1,0,49.90,8133,0
163.996,warmup,8183,8183,0,12,8181,4839401,3.871,1051044,1486936,1,0,50.05,8183,0
164.992,warmup,8233,8233,0,8,8231,4868995,3.871,1051044,1486936,1,0,50.00,8233,0
165.992,warmup,8283,8283,0,8,8281,4898467,3.871,1051044,1486936,1,0,50.00,8283,0
166.991,warmup,8333,8333,0,8,8331,4927576,3.871,1051048,1486936,1,0,50.00,8333,0
167.997,warmup,8383,8383,0,14,8381,4956748,3.871,1051048,1486936,1,0,50.00,8383,0
168.997,warmup,8433,8433,0,14,8431,4986387,3.871,1050732,1486936,1,0,50.00,8433,0
169.994,warmup,8483,8483,0,11,8481,5018616,3.871,1049180,1486936,1,0,50.00,8483,0
170.996,warmup,8533,8533,0,12,8531,5048790,3.871,1047164,1486936,1,0,49.80,8533,0
171.997,warmup,8583,8583,0,14,8581,5077760,3.871,1044828,1486936,1,0,50.15,8583,0
172.991,warmup,8633,8633,0,6,8631,5107248,3.871,1044128,1486936,1,0,50.10,8633,0
173.992,warmup,8683,8683,0,6,8681,5137032,3.871,1044124,1486936,1,0,49.95,8683,0
174.996,warmup,8733,8733,0,13,8731,5166997,3.871,1044120,1486936,1,0,50.00,8733,0
175.996,warmup,8783,8783,0,12,8781,5196829,3.871,1044116,1486936,1,0,50.00,8783,0
176.997,warmup,8833,8833,0,14,8831,5226362,3.871,1044116,1486936,1,0,50.00,8833,0
177.992,warmup,8883,8883,0,7,8881,5257162,3.871,1042200,1486936,1,0,49.90,8883,0
178.992,warmup,8933,8933,0,8,8931,5287537,3.871,1040516,1486936,1,0,50.10,8933,0
179.992,warmup,8983,8983,0,7,8981,5317622,3.871,1038200,1486936,1,0,50.00,8983,0
180.996,warmup,9033,9033,0,12,9031,5347854,3.871,1037308,1486936,1,0,49.95,9033,0
181.997,warmup,9083,9083,0,13,9081,5377436,3.871,1034344,1486936,1,0,50.00,9083,0
182.997,warmup,9133,9133,0,13,9131,5407353,3.871,1033384,1486936,1,0,50.05,9133,0
183.997,warmup,9183,9183,0,13,9181,5437041,3.871,1031132,1486936,1,0,50.00,9183,0
184.997,warmup,9233,9233,0,13,9231,5466712,3.871,1028500,1486936,1,0,49.95,9233,0
185.992,warmup,9283,9283,0,8,9281,5496047,3.871,1025996,1486936,1,0,50.05,9283,0
186.991,warmup,9333,9333,0,8,9331,5525602,3.871,1024048,1486936,1,0,50.00,9333,0
187.995,warmup,9383,9383,0,11,9381,5555115,3.871,1022808,1486936,1,0,50.00,9383,0
188.997,warmup,9433,9433,0,13,9431,5584608,3.871,1022184,1486936,1,0,50.00,9433,0
189.993,warmup,9483,9483,0,9,9481,5614423,3.871,1022132,1486936,1,0,50.00,9483,0
190.997,warmup,9533,9533,0,14,9531,5643992,3.871,1022136,1486936,1,0,50.05,9533,0
191.992,warmup,9583,9583,0,6,9581,5673295,3.871,1022136,1486936,1,0,49.95,9583,0
192.993,warmup,9633,9633,0,7,9631,5702274,3.871,1022140,1486936,1,0,49.95,9633,0
193.991,warmup,9683,9683,0,7,9681,5731338,3.871,1022140,1486936,1,0,50.00,9683,0
194.997,warmup,9733,9733,0,13,9731,5760334,3.871,1022140,1486936,1,0,50.05,9733,0
195.997,warmup,9783,9783,0,14,9781,5789220,3.871,1022136,1486936,1,0,50.00,9783,0
196.997,warmup,9833,9833,0,14,9831,5818196,3.871,1021844,1486936,1,0,50.00,9833,0
197.997,warmup,9883,9883,0,14,9881,5847530,3.871,1019144,1486936,1,0,50.05,9883,0
198.996,warmup,9933,9933,0,13,9931,5877431,3.871,1016080,1486936,1,0,50.00,9933,0
199.995,warmup,9983,9983,0,12,9981,5906873,3.871,1013532,1486936,1,0,50.00,9983,0
200.991,warmup,10033,10033,0,8,10031,5936721,3.871,1013296,1486936,1,0,50.00,10033,0
201.997,warmup,10083,10083,0,13,10081,5965661,3.871,1013296,1486936,1,0,50.00,10083,0
202.996,warmup,10133,10133,0,13,10131,5995595,3.871,1013300,1486936,1,0,49.95,10133,0
203.997,warmup,10183,10183,0,14,10181,6025172,3.871,1012060,1486936,1,0,50.05,10183,0
204.996,warmup,10233,10233,0,13,10231,6054523,3.871,1010348,1486936,1,0,50.00,10233,0
205.994,warmup,10283,10283,0,10,10281,6083778,3.871,1008088,1486936,1,0,50.00,10283,0
206.996,warmup,10333,10333,0,13,10331,6113482,3.871,1005192,1486936,1,0,50.00,10333,0
207.992,warmup,10383,10383,0,9,10381,6142664,3.871,1002292,1486936,1,0,50.00,10383,0
208.993,warmup,10433,10433,0,10,10431,6171528,3.871,1001280,1486936,1,0,50.00,10433,0
209.997,warmup,10483,10483,0,13,10481,6200878,3.871,1001280,1486936,1,0,50.00,10483,0
210.995,warmup,10533,10533,0,12,10531,6229894,3.871,1001284,1486936,1,0,50.00,10533,0
211.996,warmup,10583,10583,0,13,10581,6259195,3.871,1001284,1486936,1,0,50.00,10583,0
