t_s,phase,frame_number,interval_ms
0.035,warmup,1,0.000
0.056,warmup,2,20.913
0.075,warmup,3,19.115
0.095,warmup,4,19.730
0.115,warmup,5,19.616
0.134,warmup,6,19.514
0.154,warmup,7,19.382
0.173,warmup,8,19.387
0.194,warmup,9,20.564
0.214,warmup,10,20.546
0.234,warmup,11,20.187
0.255,warmup,12,20.764
0.276,warmup,13,21.402
0.293,warmup,14,16.869
0.314,warmup,15,20.831
0.338,warmup,16,23.904
0.356,warmup,17,17.730
0.374,warmup,18,17.929
0.395,warmup,19,20.937
0.415,warmup,20,20.721
0.436,warmup,21,20.366
0.453,warmup,22,16.962
0.474,warmup,23,20.934
0.495,warmup,24,21.067
0.515,warmup,25,20.619
0.537,warmup,26,22.140
0.554,warmup,27,16.677
0.576,warmup,28,21.430
0.596,warmup,29,20.437
0.616,warmup,30,20.154
0.633,warmup,31,16.740
0.653,warmup,32,20.270
0.673,warmup,33,19.652
0.693,warmup,34,19.800
0.713,warmup,35,20.680
0.733,warmup,36,19.688
0.753,warmup,37,20.231
0.773,warmup,38,19.345
0.794,warmup,39,20.963
0.814,warmup,40,20.204
0.833,warmup,41,19.361
0.853,warmup,42,19.998
0.874,warmup,43,20.593
0.894,warmup,44,20.095
0.913,warmup,45,19.329
0.934,warmup,46,20.625
0.954,warmup,47,20.105
0.975,warmup,48,20.707
0.997,warmup,49,22.271
1.014,warmup,50,17.304
1.036,warmup,51,21.469
1.053,warmup,52,17.509
1.077,warmup,53,24.243
1.094,warmup,54,16.446
1.113,warmup,55,18.905
1.133,warmup,56,20.294
1.153,warmup,57,19.553
1.175,warmup,58,22.590
1.194,warmup,59,19.334
1.214,warmup,60,19.783
1.234,warmup,61,19.345
1.253,warmup,62,19.009
1.272,warmup,63,19.710
1.295,warmup,64,22.686
1.315,warmup,65,19.578
1.337,warmup,66,22.095
1.353,warmup,67,16.144
1.376,warmup,68,23.027
1.395,warmup,69,19.345
1.416,warmup,70,20.400
1.435,warmup,71,19.448
1.454,warmup,72,19.404
1.625,warmup,74,170.466
1.636,warmup,75,10.936
1.655,warmup,76,19.286
1.676,warmup,77,20.792
1.691,warmup,78,15.051
1.711,warmup,79,19.814
1.731,warmup,80,19.854
1.751,warmup,81,20.442
1.771,warmup,82,19.612
1.789,warmup,83,18.802
1.810,warmup,84,20.873
1.830,warmup,85,19.873
1.849,warmup,86,19.045
1.872,warmup,87,23.002
1.891,warmup,88,18.290
