t_s,phase,displayed_frames,published,dropped,mailbox_age_ms,upload_count,upload_sum_us,upload_max_ms,rss_kb,footprint_kb,exposed,degraded,producer_fps,producer_rendered,producer_failed
0.997,warmup,49,49,0,13,49,30010,0.871,1143504,1354152,1,1,0.00,49,0
2.043,warmup,94,95,0,0,94,57324,1.010,1062312,1552044,1,0,43.35,95,0
3.003,warmup,143,144,0,1,142,85690,1.010,1062716,1552172,1,0,43.35,144,0
3.996,warmup,193,193,0,13,192,114318,1.010,1061436,1550104,1,0,51.00,193,0
5.003,warmup,243,244,0,0,242,142982,1.010,1061436,1442256,1,0,49.95,244,0
5.999,warmup,293,293,0,17,292,171928,1.010,1061432,1442252,1,0,50.05,293,0
6.999,warmup,343,343,0,15,342,201460,1.010,1061432,1442252,1,0,49.95,343,0
8.003,warmup,393,394,0,0,392,230976,1.010,1051192,1428152,1,0,50.00,394,0
8.996,warmup,443,443,0,12,442,260278,1.010,1038904,1415864,1,0,50.00,443,0
10.003,warmup,493,494,0,0,492,289376,1.010,1038908,1415864,1,0,50.00,494,0
10.996,warmup,543,543,0,13,542,318733,1.010,1038924,1415864,1,0,50.00,543,0
11.996,warmup,593,593,0,13,592,348406,1.010,1038924,1415864,1,0,50.00,593,0
13.003,warmup,643,644,0,0,642,377587,1.010,1038924,1415864,1,0,50.10,644,0
13.998,warmup,693,693,0,15,692,406017,1.010,1038924,1415864,1,0,49.90,693,0
15.003,warmup,743,744,0,0,742,434480,1.010,1038924,1415864,1,0,50.00,744,0
15.996,warmup,793,793,0,12,792,463108,1.010,1038924,1415864,1,0,50.00,793,0
16.994,warmup,843,843,0,11,842,491638,1.010,1038924,1415864,1,0,50.00,843,0
18.003,warmup,884,885,0,1,881,513777,1.010,1091372,1436204,1,0,50.05,885,0
19.004,warmup,934,935,0,0,931,542731,1.010,1091380,1436204,1,0,41.00,935,0
20.004,warmup,984,985,0,0,981,571888,1.010,1091380,1436204,1,0,50.00,985,0
20.997,warmup,1034,1034,0,15,1031,601472,1.013,1091260,1435992,1,0,49.95,1034,0
22.003,warmup,1084,1085,0,0,1081,631065,1.013,1091084,1435668,1,0,50.05,1085,0
22.996,warmup,1134,1134,0,13,1131,660400,1.013,1091092,1435668,1,0,50.00,1134,0
24.004,warmup,1184,1185,0,0,1181,690106,1.013,1091096,1435668,1,0,49.95,1185,0
25.005,warmup,1233,1234,0,0,1229,718915,1.013,1068684,1521960,1,0,49.02,1234,0
26.004,warmup,1283,1284,0,0,1279,748114,1.013,1068824,1521960,1,0,50.00,1284,0
27.004,warmup,1333,1334,0,0,1329,777923,1.013,1068824,1521960,1,0,50.00,1334,0
28.004,warmup,1383,1384,0,1,1379,807772,1.013,1068824,1506772,1,0,49.90,1384,0
28.995,warmup,1433,1433,0,9,1429,836922,1.013,1068824,1506772,1,0,50.10,1433,0
29.996,warmup,1483,1483,0,12,1479,866222,1.013,1068824,1506772,1,0,50.00,1483,0
31.004,warmup,1533,1534,0,0,1529,895840,1.013,1052440,1490356,1,0,49.95,1534,0
32.004,warmup,1583,1584,0,0,1579,925106,1.013,1052440,1490356,1,0,50.05,1584,0
33.004,warmup,1633,1634,0,0,1629,954459,1.013,1052440,1490356,1,0,50.00,1634,0
34.004,warmup,1683,1684,0,0,1679,984063,1.013,1052444,1490420,1,0,50.00,1684,0
34.995,warmup,1733,1733,0,12,1729,1014088,1.013,1052444,1490420,1,0,50.00,1733,0
35.995,warmup,1783,1783,0,11,1779,1043846,1.013,1052444,1490420,1,0,50.00,1783,0
36.994,warmup,1833,1833,0,11,1829,1073506,1.013,1052444,1490420,1,0,50.00,1833,0
38.004,warmup,1883,1884,0,0,1879,1103669,1.013,1052444,1490420,1,0,50.00,1884,0
39.004,warmup,1933,1934,0,0,1929,1132896,1.013,1052444,1490420,1,0,50.00,1934,0
40.004,warmup,1983,1984,0,0,1979,1162723,1.013,1052444,1490420,1,0,50.00,1984,0
40.997,warmup,2033,2033,0,14,2029,1192121,1.013,1052444,1490420,1,0,50.00,2033,0
41.997,warmup,2083,2083,0,13,2079,1221752,1.013,1052444,1490420,1,0,49.95,2083,0
42.996,warmup,2133,2133,0,12,2129,1251799,1.030,1052444,1490420,1,0,50.00,2133,0
43.996,warmup,2183,2183,0,12,2179,1281176,1.030,1052444,1490420,1,0,50.05,2183,0
45.004,warmup,2233,2234,0,0,2229,1310982,1.030,1052444,1490420,1,0,50.00,2234,0
46.003,warmup,2283,2284,0,0,2279,1340883,1.136,1052444,1490420,1,0,50.00,2284,0
47.004,warmup,2333,2334,0,0,2329,1370818,1.136,1052444,1490420,1,0,50.05,2334,0
47.999,warmup,2383,2383,0,16,2379,1401226,1.575,1052356,1490280,1,0,49.95,2383,0
49.003,warmup,2433,2434,0,0,2429,1430851,1.575,1052356,1490280,1,0,50.05,2434,0
49.997,warmup,2483,2483,0,14,2479,1460247,1.575,1051644,1490280,1,0,50.00,2483,0
50.995,warmup,2533,2533,0,11,2529,1490083,1.575,1051644,1490280,1,0,50.00,2533,0
52.004,warmup,2583,2584,0,0,2579,1519934,1.575,1051644,1490280,1,0,50.00,2584,0
52.998,warmup,2633,2633,0,14,2629,1550011,1.575,1051648,1490280,1,0,49.90,2633,0
54.004,warmup,2683,2684,0,0,2679,1579460,1.575,1051656,1490280,1,0,50.05,2684,0
54.997,warmup,2733,2733,0,15,2729,1608853,1.575,1051420,1490280,1,0,50.05,2733,0
55.997,warmup,2783,2783,0,14,2779,1638240,1.575,1051124,1490280,1,0,50.00,2783,0
56.995,warmup,2833,2833,0,12,2829,1667420,1.575,1051128,1490280,1,0,50.00,2833,0
57.996,warmup,2883,2883,0,12,2879,1697022,1.575,1051128,1490280,1,0,49.95,2883,0
59.004,warmup,2933,2934,0,1,2929,1727282,1.575,1051128,1490280,1,0,50.00,2934,0
