t_s,phase,frame_number,interval_ms
0.035,warmup,1,0.000
0.059,warmup,2,24.095
0.077,warmup,3,17.097
0.089,warmup,3,12.536
0.094,warmup,4,5.114
0.113,warmup,5,18.762
0.135,warmup,6,21.975
0.155,warmup,7,19.838
0.174,warmup,8,19.416
0.194,warmup,9,19.637
0.214,warmup,10,19.789
0.234,warmup,11,20.171
0.253,warmup,12,19.087
0.274,warmup,13,20.982
0.294,warmup,14,19.691
0.314,warmup,15,20.063
0.333,warmup,16,19.273
0.353,warmup,17,20.164
0.373,warmup,18,20.154
0.393,warmup,19,19.885
0.413,warmup,20,19.840
0.433,warmup,21,19.982
0.453,warmup,22,19.783
0.474,warmup,23,20.931
0.495,warmup,24,20.881
0.515,warmup,25,20.847
0.537,warmup,26,21.534
0.553,warmup,27,15.634
0.574,warmup,28,21.938
0.594,warmup,29,19.662
0.613,warmup,30,19.143
0.632,warmup,31,18.995
0.652,warmup,32,19.367
0.672,warmup,33,20.186
0.695,warmup,34,23.314
0.715,warmup,35,19.713
0.736,warmup,36,21.210
0.756,warmup,37,20.434
0.773,warmup,38,16.227
0.793,warmup,39,20.501
0.814,warmup,40,20.504
0.833,warmup,41,19.181
0.853,warmup,42,20.335
0.873,warmup,43,19.907
0.893,warmup,44,20.320
0.913,warmup,45,19.426
0.938,warmup,46,25.538
0.955,warmup,47,16.706
0.975,warmup,48,19.854
0.994,warmup,49,19.237
1.014,warmup,50,20.213
1.034,warmup,51,19.965
1.054,warmup,52,19.764
1.075,warmup,53,21.281
1.086,warmup,53,10.904
1.095,warmup,54,9.022
1.114,warmup,55,18.794
1.132,warmup,56,18.334
1.155,warmup,57,22.510
1.174,warmup,58,19.484
1.194,warmup,59,19.074
1.213,warmup,60,19.139
1.233,warmup,61,19.981
1.255,warmup,62,21.951
1.274,warmup,63,19.618
1.293,warmup,64,19.201
1.314,warmup,65,20.157
1.333,warmup,66,18.991
1.352,warmup,67,19.558
1.374,warmup,68,22.302
1.394,warmup,69,19.836
1.414,warmup,70,19.627
1.436,warmup,71,21.661
1.453,warmup,72,17.096
1.472,warmup,73,19.713
1.495,warmup,74,23.061
1.513,warmup,75,17.555
1.535,warmup,76,21.560
1.555,warmup,77,20.838
1.572,warmup,78,16.376
1.595,warmup,79,23.237
1.616,warmup,80,21.416
1.633,warmup,81,16.605
1.653,warmup,82,20.178
1.671,warmup,83,17.620
1.690,warmup,84,18.978
1.710,warmup,85,19.889
1.730,warmup,86,20.088
1.750,warmup,87,20.087
1.770,warmup,88,19.645
1.789,warmup,89,19.145
1.809,warmup,90,19.948
1.832,warmup,91,23.436
1.849,warmup,92,17.103
1.869,warmup,93,19.774
1.890,warmup,94,21.343
2.058,warmup,96,168.126
2.070,warmup,97,11.668
2.086,warmup,97,15.668
